"","Var1","Freq"
"406","02-01-2002",25
"657","02-21-2002",25
"670","02-22-2002",25
"1025","03-21-2003",25
"1101","03-27-2002",25
"1114","03-28-2003",25
"1217","04-05-2002",25
"1284","04-10-2004",25
"1373","04-17-2002",25
"1619","05-06-2002",25
"1632","05-07-2002",25
"1659","05-09-2003",25
"1736","05-15-2002",25
"1763","05-17-2003",25
"1841","05-23-2003",25
"2047","06-07-2014",25
"2112","06-12-2014",25
"2140","06-15-2003",25
"2191","06-19-2002",25
"2291","06-27-2002",25
"2711","08-02-2002",25
"3083","09-01-2002",25
"3175","09-08-2003",25
"3291","09-17-2002",25
"3319","09-19-2004",25
"3538","10-06-2002",25
"3720","10-20-2003",25
"3901","11-03-2002",25
"4188","11-25-2002",25
"4292","12-03-2003",25
"4511","12-20-2001",25
"160","01-13-2003",26
"239","01-19-2004",26
"304","01-24-2004",26
"341","01-27-2002",26
"368","01-29-2003",26
"471","02-06-2002",26
"683","02-23-2002",26
"749","02-28-2003",26
"947","03-15-2003",26
"960","03-16-2003",26
"1051","03-23-2003",26
"1361","04-16-2003",26
"1451","04-23-2002",26
"1478","04-25-2003",26
"1697","05-12-2002",26
"1710","05-13-2002",26
"1853","05-24-2002",26
"2114","06-13-2003",26
"2205","06-20-2003",26
"2453","07-11-2002",26
"2486","07-14-2002",26
"2615","07-25-2002",26
"2903","08-18-2002",26
"2927","08-20-2002",26
"2940","08-21-2002",26
"106","01-09-2002",27
"161","01-13-2004",27
"212","01-17-2003",27
"213","01-17-2004",27
"226","01-18-2004",27
"238","01-19-2003",27
"382","01-30-2004",27
"419","02-02-2002",27
"547","02-12-2002",27
"573","02-14-2003",27
"585","02-15-2003",27
"684","02-23-2003",27
"803","03-04-2002",27
"830","03-06-2003",27
"856","03-08-2003",27
"986","03-18-2003",27
"1000","03-19-2004",27
"1230","04-06-2002",27
"1399","04-19-2002",27
"1594","05-04-2003",27
"1761","05-16-2014",27
"1814","05-21-2002",27
"1827","05-22-2002",27
"2036","06-07-2003",27
"2244","06-23-2003",27
"2267","06-25-2002",27
"2328","06-30-2003",27
"2747","08-05-2002",27
"3098","09-02-2004",27
"3316","09-19-2001",27
"3342","09-21-2001",27
"3549","10-06-2013",27
"3579","10-09-2004",27
"3655","10-15-2002",27
"3785","10-25-2003",27
"3863","10-31-2003",27
"4498","12-19-2001",27
"119","01-10-2002",28
"173","01-14-2003",28
"237","01-19-2002",28
"509","02-09-2002",28
"535","02-11-2003",28
"586","02-15-2004",28
"804","03-04-2003",28
"842","03-07-2002",28
"934","03-14-2003",28
"1050","03-23-2002",28
"1127","03-29-2003",28
"1322","04-13-2003",28
"1439","04-22-2003",28
"1452","04-23-2003",28
"1555","05-01-2003",28
"1580","05-03-2002",28
"1723","05-14-2002",28
"3527","10-05-2004",28
"3708","10-19-2003",28
"3772","10-24-2003",28
"3981","11-09-2003",28
"4433","12-14-2001",28
"342","01-27-2003",29
"608","02-17-2002",29
"895","03-11-2003",29
"1065","03-24-2004",29
"1102","03-27-2003",29
"1115","03-28-2004",29
"1556","05-01-2004",29
"1684","05-11-2002",29
"1892","05-27-2002",29
"1956","05-31-2014",29
"2292","06-27-2003",29
"2431","07-09-2002",29
"3057","08-30-2002",29
"3161","09-07-2002",29
"3240","09-13-2003",29
"3603","10-11-2002",29
"3876","11-01-2003",29
"3991","11-09-2013",29
"4578","12-25-2003",29
"41","01-04-2002",30
"67","01-06-2002",30
"93","01-08-2002",30
"132","01-11-2002",30
"522","02-10-2003",30
"561","02-13-2003",30
"574","02-14-2004",30
"619","02-18-2002",30
"671","02-22-2003",30
"1026","03-21-2004",30
"1037","03-22-2002",30
"1335","04-14-2003",30
"1374","04-17-2003",30
"1464","04-24-2002",30
"1633","05-07-2003",30
"1670","05-09-2014",30
"1672","05-10-2003",30
"1826","05-21-2014",30
"1852","05-23-2014",30
"1854","05-24-2003",30
"1878","05-25-2014",30
"1945","05-31-2003",30
"1951","05-31-2009",30
"1983","06-03-2002",30
"2010","06-05-2003",30
"2046","06-07-2013",30
"2737","08-04-2004",30
"3186","09-09-2001",30
"3328","09-19-2013",30
"3432","09-27-2013",30
"3446","09-29-2001",30
"3468","09-30-2010",30
"3565","10-08-2003",30
"3942","11-06-2003",30
"4044","11-14-2001",30
"4253","11-30-2003",30
"4269","12-01-2006",30
"4295","12-03-2006",30
"146","01-12-2002",31
"200","01-16-2004",31
"252","01-20-2004",31
"301","01-23-2014",31
"390","01-30-2012",31
"459","02-05-2003",31
"694","02-23-2013",31
"818","03-05-2004",31
"921","03-13-2003",31
"946","03-15-2002",31
"1078","03-25-2004",31
"1243","04-07-2002",31
"1257","04-08-2003",31
"1607","05-05-2003",31
"1828","05-22-2003",31
"1867","05-25-2003",31
"1916","05-28-2013",31
"1943","05-30-2014",31
"1984","06-03-2003",31
"2520","07-17-2003",31
"2555","07-20-2002",31
"2845","08-13-2004",31
"2857","08-14-2004",31
"3279","09-16-2003",31
"3384","09-24-2004",31
"3500","10-03-2003",31
"3513","10-04-2003",31
"3679","10-16-2013",31
"4097","11-18-2002",31
"4137","11-21-2003",31
"4176","11-24-2003",31
"4641","12-30-2001",31
"263","01-21-2002",32
"264","01-21-2003",32
"446","02-04-2003",32
"472","02-06-2003",32
"548","02-12-2003",32
"645","02-20-2003",32
"750","02-28-2004",32
"831","03-06-2004",32
"1039","03-22-2004",32
"1091","03-26-2004",32
"1492","04-26-2004",32
"1620","05-06-2003",32
"1773","05-17-2013",32
"1787","05-18-2014",32
"1880","05-26-2003",32
"1957","06-01-2002",32
"1958","06-01-2003",32
"2231","06-22-2003",32
"2385","07-04-2012",32
"3241","09-13-2004",32
"3332","09-20-2004",32
"3357","09-22-2003",32
"3358","09-22-2004",32
"3435","09-28-2003",32
"3445","09-28-2013",32
"3474","10-01-2003",32
"3591","10-10-2003",32
"3617","10-12-2003",32
"3643","10-14-2003",32
"3682","10-17-2003",32
"3810","10-27-2002",32
"3916","11-04-2003",32
"4033","11-13-2003",32
"4513","12-20-2003",32
"291","01-23-2004",33
"421","02-02-2004",33
"710","02-25-2003",33
"844","03-07-2004",33
"867","03-08-2014",33
"987","03-18-2004",33
"998","03-19-2002",33
"1052","03-23-2004",33
"1256","04-08-2002",33
"1270","04-09-2003",33
"1348","04-15-2003",33
"1737","05-15-2003",33
"1774","05-17-2014",33
"1971","06-02-2003",33
"1982","06-02-2014",33
"2034","06-06-2014",33
"2137","06-14-2013",33
"2242","06-22-2014",33
"2340","07-01-2003",33
"2689","07-31-2004",33
"2890","08-16-2013",33
"3095","09-02-2001",33
"3251","09-14-2001",33
"3692","10-17-2013",33
"3705","10-18-2013",33
"3954","11-07-2002",33
"4072","11-16-2003",33
"4331","12-06-2003",33
"187","01-15-2004",34
"199","01-16-2003",34
"329","01-26-2003",34
"473","02-06-2004",34
"644","02-20-2002",34
"1077","03-25-2003",34
"1205","04-04-2003",34
"1529","04-29-2003",34
"1646","05-08-2003",34
"1657","05-08-2014",34
"1802","05-20-2003",34
"1813","05-20-2014",34
"1823","05-21-2011",34
"1906","05-28-2003",34
"1969","06-01-2014",34
"2228","06-21-2013",34
"2440","07-09-2012",34
"2442","07-10-2002",34
"2893","08-17-2004",34
"3081","08-31-2013",34
"3146","09-05-2013",34
"3263","09-14-2013",34
"3277","09-16-2001",34
"3302","09-17-2013",34
"3331","09-20-2003",34
"3656","10-15-2003",34
"3669","10-16-2003",34
"3733","10-21-2003",34
"3798","10-26-2003",34
"3939","11-05-2013",34
"317","01-25-2004",35
"646","02-20-2004",35
"723","02-26-2003",35
"761","02-29-2004",35
"1084","03-25-2010",35
"1112","03-27-2014",35
"1192","04-03-2003",35
"1658","05-09-2002",35
"1788","05-19-2002",35
"1893","05-27-2003",35
"1995","06-03-2014",35
"2101","06-12-2003",35
"2216","06-20-2014",35
"2266","06-24-2013",35
"2495","07-14-2012",35
"3043","08-29-2001",35
"3202","09-10-2004",35
"3253","09-14-2003",35
"3306","09-18-2004",35
"3588","10-09-2013",35
"3614","10-11-2013",35
"3902","11-03-2003",35
"4059","11-15-2003",35
"4318","12-05-2003",35
"4552","12-23-2003",35
"353","01-27-2014",36
"510","02-09-2003",36
"685","02-23-2004",36
"746","02-27-2013",36
"829","03-06-2002",36
"908","03-12-2003",36
"995","03-18-2012",36
"1049","03-22-2014",36
"1255","04-07-2014",36
"1296","04-11-2003",36
"1309","04-12-2003",36
"1362","04-16-2004",36
"1552","04-30-2013",36
"1604","05-04-2013",36
"1645","05-08-2002",36
"1669","05-09-2013",36
"1689","05-11-2007",36
"1734","05-14-2013",36
"1776","05-18-2003",36
"1812","05-20-2013",36
"1839","05-22-2014",36
"1865","05-24-2014",36
"1932","05-30-2003",36
"1981","06-02-2013",36
"2062","06-09-2003",36
"2192","06-19-2003",36
"2218","06-21-2003",36
"2429","07-08-2012",36
"3305","09-18-2003",36
"3497","10-02-2013",36
"3526","10-05-2003",36
"3604","10-11-2003",36
"3630","10-13-2003",36
"3811","10-27-2003",36
"4278","12-02-2002",36
"4305","12-04-2003",36
"4539","12-22-2003",36
"4586","12-25-2011",36
"447","02-04-2004",37
"562","02-13-2004",37
"631","02-19-2002",37
"642","02-19-2013",37
"775","03-01-2013",37
"909","03-12-2004",37
"922","03-13-2004",37
"974","03-17-2004",37
"1021","03-20-2012",37
"1163","03-31-2013",37
"1551","04-30-2012",37
"1568","05-02-2003",37
"1591","05-03-2013",37
"1631","05-06-2014",37
"1644","05-07-2014",37
"1954","05-31-2012",37
"1997","06-04-2003",37
"2124","06-13-2013",37
"2151","06-15-2014",37
"2241","06-22-2013",37
"2256","06-24-2003",37
"2269","06-25-2004",37
"2353","07-02-2004",37
"2900","08-17-2011",37
"3134","09-05-2001",37
"3201","09-10-2003",37
"3300","09-17-2011",37
"3345","09-21-2004",37
"3368","09-23-2001",37
"3419","09-26-2013",37
"3488","10-02-2004",37
"3552","10-07-2003",37
"3850","10-30-2003",37
"3965","11-07-2013",37
"4266","12-01-2003",37
"4474","12-17-2003",37
"486","02-07-2004",38
"499","02-08-2004",38
"536","02-11-2004",38
"545","02-11-2013",38
"766","03-01-2004",38
"1167","04-01-2004",38
"1297","04-11-2004",38
"1349","04-15-2004",38
"1386","04-18-2002",38
"1427","04-21-2004",38
"1453","04-23-2004",38
"1520","04-28-2007",38
"1696","05-11-2014",38
"1722","05-13-2014",38
"2008","06-04-2014",38
"2088","06-11-2003",38
"2179","06-18-2003",38
"2640","07-27-2003",38
"2697","07-31-2012",38
"2734","08-03-2013",38
"2914","08-18-2013",38
"3121","09-04-2001",38
"3199","09-10-2001",38
"3237","09-12-2013",38
"3339","09-20-2011",38
"3355","09-22-2001",38
"3370","09-23-2003",38
"3510","10-03-2013",38
"4020","11-12-2003",38
"4124","11-20-2003",38
"4240","11-29-2003",38
"4591","12-26-2003",38
"4604","12-27-2003",38
"460","02-05-2004",39
"582","02-14-2013",39
"659","02-21-2004",39
"672","02-22-2004",39
"779","03-02-2004",39
"805","03-04-2004",39
"896","03-11-2004",39
"1244","04-07-2003",39
"1336","04-14-2004",39
"1738","05-15-2004",39
"1785","05-18-2012",39
"1815","05-21-2003",39
"1849","05-23-2011",39
"1891","05-26-2014",39
"2060","06-08-2014",39
"2099","06-11-2014",39
"2138","06-14-2014",39
"2150","06-15-2013",39
"2153","06-16-2003",39
"2229","06-21-2014",39
"2245","06-23-2004",39
"2316","06-29-2003",39
"2329","06-30-2004",39
"2443","07-10-2004",39
"2746","08-04-2013",39
"2994","08-25-2004",39
"3007","08-26-2004",39
"3019","08-27-2003",39
"3079","08-31-2011",39
"3082","09-01-2001",39
"3293","09-17-2004",39
"3393","09-24-2013",39
"3409","09-26-2003",39
"3452","09-29-2007",39
"3471","09-30-2013",39
"3475","10-01-2004",39
"3673","10-16-2007",39
"3746","10-22-2003",39
"3759","10-23-2003",39
"3808","10-26-2013",39
"3823","10-28-2002",39
"3929","11-05-2003",39
"3994","11-10-2003",39
"4111","11-19-2003",39
"4487","12-18-2003",39
"4540","12-22-2004",39
"581","02-14-2012",40
"617","02-17-2012",40
"629","02-18-2013",40
"698","02-24-2004",40
"792","03-03-2004",40
"879","03-09-2013",40
"907","03-12-2002",40
"1013","03-20-2004",40
"1333","04-13-2014",40
"1565","05-01-2013",40
"1748","05-15-2014",40
"1917","05-28-2014",40
"2021","06-05-2014",40
"2059","06-08-2013",40
"2098","06-11-2013",40
"2111","06-12-2013",40
"2125","06-13-2014",40
"2257","06-24-2004",40
"2589","07-22-2012",40
"2881","08-16-2004",40
"3020","08-27-2004",40
"3069","08-31-2001",40
"3123","09-04-2003",40
"3133","09-04-2013",40
"3163","09-07-2004",40
"3315","09-18-2013",40
"3406","09-25-2013",40
"3578","10-09-2003",40
"3666","10-15-2013",40
"3695","10-18-2003",40
"3789","10-25-2007",40
"4046","11-14-2003",40
"4201","11-26-2003",40
"389","01-30-2011",41
"511","02-09-2004",41
"532","02-10-2013",41
"633","02-19-2004",41
"654","02-20-2012",41
"788","03-02-2013",41
"857","03-08-2004",41
"935","03-14-2004",41
"1010","03-19-2014",41
"1124","03-28-2013",41
"1231","04-06-2003",41
"1504","04-27-2004",41
"1525","04-28-2012",41
"1583","05-03-2005",41
"1706","05-12-2011",41
"1735","05-14-2014",41
"1933","05-30-2004",41
"2280","06-26-2003",41
"2326","06-29-2013",41
"2419","07-07-2013",41
"2620","07-25-2007",41
"2709","08-01-2012",41
"2964","08-22-2013",41
"3040","08-28-2011",41
"3074","08-31-2006",41
"3075","08-31-2007",41
"3080","08-31-2012",41
"3085","09-01-2004",41
"3091","09-01-2010",41
"3108","09-03-2001",41
"3172","09-07-2013",41
"3523","10-04-2013",41
"3553","10-07-2004",41
"3721","10-20-2004",41
"3730","10-20-2013",41
"3756","10-22-2013",41
"3833","10-28-2012",41
"3926","11-04-2013",41
"4163","11-23-2003",41
"4166","11-23-2006",41
"4448","12-15-2003",41
"4569","12-24-2007",41
"4572","12-24-2010",41
"4663","12-31-2010",41
"43","01-04-2004",42
"235","01-18-2013",42
"251","01-20-2003",42
"495","02-07-2013",42
"605","02-16-2012",42
"737","02-27-2004",42
"741","02-27-2008",42
"827","03-05-2013",42
"1141","03-30-2004",42
"1193","04-03-2004",42
"1546","04-30-2007",42
"1605","05-04-2014",42
"1643","05-07-2013",42
"1760","05-16-2013",42
"1863","05-24-2012",42
"1877","05-25-2013",42
"2073","06-09-2014",42
"2190","06-18-2014",42
"2253","06-23-2012",42
"2289","06-26-2012",42
"2350","07-01-2013",42
"2373","07-03-2012",42
"2399","07-06-2004",42
"2664","07-29-2003",42
"2701","08-01-2004",42
"2733","08-03-2012",42
"2809","08-10-2004",42
"2929","08-20-2004",42
"2980","08-24-2003",42
"3036","08-28-2007",42
"3068","08-30-2013",42
"3105","09-02-2011",42
"3111","09-03-2004",42
"3264","09-15-2001",42
"3391","09-24-2011",42
"3514","10-04-2004",42
"3548","10-06-2012",42
"3560","10-07-2011",42
"3659","10-15-2006",42
"3718","10-19-2013",42
"3889","11-02-2003",42
"4214","11-27-2003",42
"4257","11-30-2007",42
"4259","11-30-2009",42
"4396","12-11-2003",42
"4556","12-23-2007",42
"4657","12-31-2004",42
"12","01-01-2012",43
"69","01-06-2004",43
"156","01-12-2012",43
"364","01-28-2012",43
"378","01-29-2013",43
"594","02-15-2013",43
"796","03-03-2008",43
"801","03-03-2013",43
"840","03-06-2013",43
"854","03-07-2014",43
"883","03-10-2004",43
"892","03-10-2013",43
"996","03-18-2013",43
"1087","03-25-2013",43
"1258","04-08-2004",43
"1320","04-12-2014",43
"1323","04-13-2004",43
